Gene	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a221_gac-miR-19c-3p	37	0	2	2	0	0	0	0	0	0	2	0	0	5	0	2	9	7	0
a220_gac-miR-19b-3p	1456	450	484	944	41	432	109	240	481	251	636	425	423	40	68	414	397	817	114
a157_gac-miR-19b-2-5p	126	88	91	235	123	46	47	84	244	45	55	103	138	55	52	67	100	308	25
a222_gac-miR-19a-1-3p	312	139	115	313	28	82	24	150	108	69	98	37	16	3	12	50	37	391	26
a72_gac-miR-199-5p	11190	3192	4488	21129	7827	4550	3025	11476	10602	5355	7452	9044	10038	8204	7879	10033	22478	4661	5287
a20_gac-miR-199-3p	67346	11212	19639	61556	20388	21813	5559	29433	62323	12519	14825	44853	29720	40640	31774	35960	87705	32608	29109
a153_gac-miR-196d-5p	130	4	20	29	99	14	14	23	0	15	8	79	44	120	35	88	305	28	79
a69_gac-miR-196d-3p	412	23	40	121	173	68	53	71	166	14	59	189	135	323	136	234	793	228	136
a154_gac-miR-196a-5p	1082	103	164	595	397	254	55	149	779	95	100	701	443	1196	291	614	900	546	116
a216_gac-miR-194b-5p	4	0	5	10	0	0	0	0	0	0	11	2	2	3	17	0	6	15	2
a215_gac-miR-194a-5p	255	216	64	5723	520	325	181	721	3054	182	277	1736	778	984	441	1066	225	372	1254
a71_gac-miR-194a-3p	0	1	0	25	0	0	0	0	0	2	1	13	0	30	5	8	0	15	1
a207_gac-miR-193a-2-5p	1273	122	96	611	298	315	71	230	526	144	406	950	1537	1687	618	1134	4295	950	339
a131_gac-miR-18c-5p	38	76	116	169	41	178	50	248	127	21	209	33	27	68	44	104	88	52	51
a130_gac-miR-18a/b-5p	86	165	207	224	0	268	49	71	0	69	126	17	53	38	32	40	138	112	37
a32_gac-miR-18a-3p	171	124	168	228	31	120	64	153	374	86	166	115	131	50	78	129	125	406	73
a76_gac-miR-184-5p	0	1	3	0	0	0	0	35	67	5	12	0	0	12	0	0	0	0	0
