Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a154_gac-miR-196a-5p	0	122.964793666268	583.048235303246	147.566011060813	179.075238942161	133.684986278775	466.949873101453	33.5557503775147	768.793062791345
a216_gac-miR-194b-5p	0	0	0	24.5943351768022	0	0	0	56.1694082406225	0
a215_gac-miR-194a-5p	0	248.772703949097	300.900624359716	832.791516125609	573.040764614914	2646.04076289713	155.998948637033	892.87474917561	568.848403114813
a207_gac-miR-193a-2-5p	2212.22907304568	160.636088835703	131.271093913304	1095.13109134483	1.49229365785134	407.201394987072	444.963444098919	819.197992911936	1123.6656020418
a131_gac-miR-18c-5p	0	158.503751373282	151.728926730962	15.0298714969347	513.34901830086	132.148377241088	39.7849667664915	97.749359795369	14.0312041878268
a130_gac-miR-18a/b-5p	0	184.091800922332	150.876517030226	206.319145094285	265.628271097538	0	127.730682776631	52.5220440691535	15.2004712034791
a32_gac-miR-18a-3p	0	141.445051673915	215.659654286142	102.476396570009	0	536.276554152786	146.576193350232	56.1694082406225	107.572565440006
a76_gac-miR-184-5p	0	5.68623323312222	8.52409700735739	0	0	0	9.42275528680063	0	0
a204_gac-miR-184-3p	4949.99237658953	9947.35426219318	7126.99750785152	708.453488287331	931.191242499235	1916.15146999577	5564.66048326059	517.925712348597	1193.82162298093
a159_gac-miR-183-5p	334.430873953384	850.091868351772	656.355469566519	144.83330715228	507.379843669455	0	479.513546817187	157.566132207461	180.067120410444
a243_gac-miR-182b-5p	0	21.3233746242083	26.4247007228079	25.960687131069	0	0	21.9864290025348	0	12.2773036643485
a241_gac-miR-182a-5p_gac-miR-182b-5p	0	27.7203870114708	31.5391589272224	15.7130474740681	0	0	12.5636737157342	0	0
a242_gac-miR-182a-5p	0	161.346867989843	219.921702789821	40.9905586280037	435.749748092591	0	138.200410873076	0	48.5245811495678
a8_gac-miR-181b-2/3-5p_gac-miR-181c-5p	2251.69607059297	1510.40570254809	1822.45194017301	1916.99179183631	1595.26192024308	768.304518843533	1489.84230812414	3656.84731831481	1594.29557584182
a88_gac-miR-181b-2-3p	0	0	3.40963880294296	53.9709021935382	0	0	0	0	0
a7_gac-miR-181b-1-5p	155.790779791949	1124.45262184992	825.985000012931	660.631169887993	507.379843669455	208.978829125441	835.484302096322	1412.98888002709	1051.17104707136
a6_gac-miR-181a-5p	8963.16286403014	22645.4238509092	16912.6608722978	20724.8264423187	17255.391565735	11031.3162815554	18567.0158062358	32426.5264300279	20779.0441351559
a23_gac-miR-181a-3-3p	1341.87791660799	489.726837202651	617.144623332675	370.964555583434	1081.91290194222	557.789080680405	563.271371588749	543.45726154888	550.724764372203
a21_gac-miR-181a-2-3p_gac-miR-181a-3-3p	0	61.8377864102041	63.9307275551804	32.792446902403	1.49229365785134	0	63.8653413883154	32.8262775432209	35.0780104695671
a22_gac-miR-181a-2-3p	984.597728285119	949.60094993141	733.072342632736	1555.59169993274	4285.86738534904	408.73800402476	1985.060447086	6385.07571857362	1197.91405753572
a24_gac-miR-181a-1-3p	0	356.100356224279	102.289164088289	272.587214876225	316.366255464484	198.222565861631	203.112725071036	223.948160128196	111.080366486962
a2_gac-miR-17a-5p	211.875460517051	499.677745360615	186.677724461127	259.60687131069	0	0	145.529220540587	304.919644734808	71.9099214626125
a31_gac-miR-17a-1-3p	0	4.97545407898194	5.96686790515017	25.960687131069	0	0	0	0	0
a150_gac-miR-16c-5p	161368.089708501	245669.442162121	369107.038973787	185329.929548816	266834.044373082	241084.738358875	218376.541662843	133083.564942892	185154.601195547
a149_gac-miR-16a-5p_gac-miR-16c-5p	7916.24882382825	14175.7794501737	15315.245093119	9380.68934201865	12099.5169778586	7862.82844584472	10180.7636009833	5150.80768294851	9814.24269587704
a151_gac-miR-16a-5p	2868.62755856909	9945.22192473076	14319.6305626597	8756.94967489586	10258.0266040701	13030.4446395863	9415.42647713311	7176.55374378239	8473.09342892393
a152_gac-miR-15c-5p	131975.562587753	115252.129064692	112518.080497118	78732.6154847382	132051.573489607	145782.709232485	75739.0600224938	78779.4187395588	80113.4988444286
a147_gac-miR-15b-1-5p	253.419668461571	685.901883745368	162.810252840526	468.658720313509	0	342.663815404216	288.964495461886	312.94384591204	589.895209396553
a148_gac-miR-15a-2-5p	29922.2157720404	53581.3757557107	64448.9926532278	35760.1633470705	24622.8453545471	47385.9495041937	38740.0879024663	22121.9931727937	26293.8920144797
a225_gac-miR-155-5p	546.306334470435	1594.27764273664	621.406671836354	700.25537656173	1956.3969854431	591.59447950952	773.712906327296	1332.01739542048	469.460706784373
a235_gac-miR-153c-3p	0	0	0.852409700735739	30.7429189710028	0	0	0	0	0
a16_gac-miR-152a-5p	324.044821967254	793.229536020549	532.756062959837	887.445594296281	1210.25015651743	465.592538419181	854.329812669924	622.969800486904	867.011492106133
a169_gac-miR-152a-3p	808.03484452091	1602.80699258633	1313.56334883377	1091.03203548203	259.659096466133	911.20915934843	930.758827773973	760.840166168432	333.241099460887
a29_gac-miR-150-5p	10753.7182264389	5594.54272223812	2285.31040767252	11142.6001870457	6725.76751593598	23725.2435418883	3552.37874312384	2054.19550137134	3193.85285325408
a78_gac-miR-150-3p	0	4.97545407898194	5.11445820441444	101.110044615743	0	0	16.7515649543122	37.2031145489837	25.7238743443492
a170_gac-miR-148a-3p	519.302599306497	744.18577438487	881.391630560754	1403.92663300913	282.043501333903	1424.43657793591	547.566779444081	1118.28185497239	571.186937146117
a183_gac-miR-146a-5p	22388.1736613017	51977.8579839702	40557.6535610065	41515.2377784422	56653.4364266682	14550.1509778588	53137.011007888	104829.623125025	29053.9468049268
a53_gac-miR-146a-3p	2299.47190972917	566.490985849801	702.385593406249	713.235720127265	483.503145143833	1064.87006311714	611.432120832396	2742.81785694468	565.340602067856
a121_gac-miR-145-5p	3724.4382422262	3708.84562630397	4454.69309604497	3890.00401379755	1790.75238942161	1900.7853796189	2877.08128090312	5257.31071675541	3628.82018307671
a113_gac-miR-145-3p	290.809455611638	2873.68012018914	4564.65394743988	1410.75839278046	4288.85197266474	1555.04834613931	2902.20862833459	2670.6000463496	1742.79248682966
a48_gac-miR-144-5p	3464.78694257295	8129.18118590235	9641.60612502195	38814.6431408339	25989.7863451389	8082.56353823397	14096.4419090537	7724.38784233704	10608.1749995049
a80_gac-miR-144-3p	1044.83682980467	824.503818802722	690.451857595949	4375.7421335394	1384.84851448604	1873.12641694053	773.712906327296	1216.76068760206	905.012670114831
a120_gac-miR-143-5p	0	42.6467492484166	69.8975954603306	27.3270390853358	0	0	7.3288096675116	0	25.1392408365231
a55_gac-miR-143-3p	19658.7191993468	38773.0028583521	58694.3747635608	83160.2789925397	167241.350235399	13262.4726042771	43714.2557210874	165503.526117411	48078.5057830965
a66_gac-miR-142-5p	845.424631670978	2243.21901046672	750.120536647451	2102.81565761659	1835.52119915715	689.937457921493	710.894537748625	1604.84023544636	467.122172753068
a218_gac-miR-142-3p	1225.55413436333	898.42485083331	577.081367398095	866.267139005145	202.951937467782	872.793933406253	215.67639878677	345.040650620967	146.15837695653
a65_gac-miR-140-5p	135.018675819689	275.071532652287	291.524117651623	445.430737090974	0	0	248.13255588575	299.813334894751	318.040628257408
