		B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
nomCol	Gene	B43_F	B54_F	B60_F	T44_F	T47_F	C17_F	C19_F	C31_F	B48_M	B49_M	B59_M	T41_M	T43_M	T45_M	T63_M	T69_M	C13_M	C15_M	C20_M
miR-150-5p	miR-150-5p	2088	2587	488	8643	1133	28434	7351	5031	601	2260	2126	2843	5933	30804	4635	40101	18945	26686	72722
miR-148a-3p	miR-148a-3p	292	56	75	418	327	152	36	109	100	164	82	460	734	1069	211	1328	586	309	273
miR-146a-5p	miR-146a-5p	4688	1519	935	8617	3171	10628	18149	4157	710	14288	1576	9217	10258	20031	793	30288	9785	12548	17423
miR-146a-3p	miR-146a-3p	160	51	86	0	0	360	950	114	17	115	59	0	9	3	2	23	116	565	595
miR-145-5p	miR-145-5p	2163	296	87	434	121	306	306	264	303	1477	37	374	56	407	25	508	804	121	463
miR-145-3p	miR-145-3p	1698	119	160	374	20	116	293	102	67	1860	174	212	93	436	12	1291	500	130	675
miR-144-5p	miR-144-5p	1265	610	1460	513	1158	342	995	1066	1161	2462	160	682	620	2896	875	4808	960	560	151
miR-144-3p	miR-144-3p	294	66	68	38	129	0	73	61	575	397	26	62	100	210	206	486	120	48	0
miR-143-5p	miR-143-5p	13	0	11	0	0	0	0	22	0	8	0	0	0	0	0	0	0	0	39
miR-143-3p	miR-143-3p	25105	1733	3487	4077	1170	4765	34776	27387	2049	78180	3852	6503	2405	5592	491	23495	10640	3035	5314
miR-142-5p	miR-142-5p	221	116	403	922	210	247	1892	1110	321	913	486	316	741	860	413	1227	666	1050	321
miR-142-3p	miR-142-3p	16	20	4	152	135	0	0	116	94	154	10	155	255	196	241	488	394	817	303
miR-140-5p	miR-140-5p	6	0	0	0	28	77	0	0	17	29	3	2	3	763	0	58	0	0	66
miR-140-3p	miR-140-3p	1501	382	979	1731	1000	1290	789	1027	592	1106	258	995	753	20159	1125	3306	1472	1005	819
miR-139-5p	miR-139-5p	1306	194	84	541	122	59	246	73	92	306	89	1215	480	694	62	978	155	97	90
miR-1388-3p	miR-1388-3p	188	128	313	796	112	645	1304	1774	187	312	433	638	746	1928	639	2542	1232	1446	1484
miR-135a-1-5p	miR-135a-1-5p	0	3	0	0	1	0	0	0	0	0	0	0	0	128	0	14	0	0	0
miR-133b-3p	miR-133b-3p	87	4	22	153	31	0	0	0	42	20	9	29	11	410	10	23	0	0	0
miR-133a-5p	miR-133a-5p	33	15	16	103	28	0	0	0	29	2	0	54	94	1307	1	290	0	0	0
miR-133a-3p_gac-miR-133b-3p	miR-133a-3p_gac-miR-133b-3p	50	28	1	0	67	0	0	0	102	29	0	72	19	999	10	89	0	0	0
