Gene	T9_Immature	T26_Immature	T31_Immature	T32_Immature	T13_Immature	T23_Immature	T1_Immature	T3_Immature	T12_Immature	T44_Mature	T47_Mature	T41_Mature	T43_Mature	T45_Mature	T63_Mature	T69_Mature
miR-16a-5p	141	2444	2558	129	300	336	288	138	215	388	288	793	663	1652	171	1275
miR-15c-5p	5716	66882	52851	5566	7507	4581	12859	2055	7926	27583	11196	16421	21208	81054	10401	36151
miR-15b-1-5p	32	567	555	22	73	58	23	0	126	46	128	179	135	722	235	332
miR-15a-2-5p	3717	54855	29650	3111	4350	1529	6124	1559	3921	10815	6490	7971	10193	35517	9613	38356
miR-155-5p	329	8566	4492	388	354	113	760	134	418	1496	950	1032	1646	3079	297	2378
miR-152a-5p	29	354	89	19	15	114	0	5	22	54	37	104	200	596	13	317
miR-152a-3p	44	293	238	27	38	213	16	0	14	196	35	83	195	408	38	585
miR-150-5p	2221	18203	10309	513	648	349	2799	326	7062	8643	1133	2843	5933	30804	4635	40101
miR-150-3p	54	421	429	21	10	0	0	0	5	181	48	91	40	286	65	645
miR-148a-3p	71	741	1260	38	30	213	25	18	103	418	327	460	734	1069	211	1328
miR-146a-5p	2695	53125	30293	4928	2292	4504	2187	1771	3553	8617	3171	9217	10258	20031	793	30288
miR-146a-3p	0	0	0	0	0	0	0	0	35	0	0	0	9	3	2	23
miR-145-5p	81	634	582	11	24	69	41	27	215	434	121	374	56	407	25	508
miR-145-3p	134	696	887	37	0	244	80	17	173	374	20	212	93	436	12	1291
miR-144-5p	216	3881	4379	1255	441	509	258	321	861	513	1158	682	620	2896	875	4808
miR-144-3p	3	842	762	22	5	85	0	8	27	38	129	62	100	210	206	486
miR-143-3p	1213	18305	15445	1190	372	2435	1284	1459	1694	4077	1170	6503	2405	5592	491	23495
miR-142-5p	66	7497	2788	199	200	53	658	6	438	922	210	316	741	860	413	1227
miR-142-3p	9	1672	106	37	21	91	193	0	23	152	135	155	255	196	241	488
miR-140-5p	0	0	75	2	28	44	0	0	13	0	28	2	3	763	0	58
miR-140-3p	60	5607	4362	443	408	694	536	231	612	1731	1000	995	753	20159	1125	3306
miR-139-5p	491	1650	1426	50	177	116	224	39	7	541	122	1215	480	694	62	978
miR-138bb-3p	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0
miR-1388-5p	0	655	159	82	24	35	87	2	101	169	14	66	94	161	13	178
miR-1388-3p	560	4124	4788	436	244	120	529	125	283	796	112	638	746	1928	639	2542
miR-135c-5p	0	0	37	0	0	0	0	0	6	0	0	0	0	0	0	0
miR-135a-1-5p	0	0	0	0	0	0	0	0	0	0	1	0	0	128	0	14
miR-133b-3p	0	0	99	0	0	21	0	0	0	153	31	29	11	410	10	23
miR-133a-5p	69	249	39	32	0	73	93	68	134	103	28	54	94	1307	1	290
miR-133a-3p_gac-miR-133b-3p	7	0	0	0	4	10	0	0	0	0	67	72	19	999	10	89
miR-133a-3p	1446	1067	2021	867	513	2334	1194	2245	1250	9183	5613	7369	4669	117050	654	12130
miR-132b-5p	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-132a-5p	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-132-3p	72	990	555	30	41	0	331	0	58	0	90	27	257	444	100	619
miR-130c-3p	17	0	377	1	9	0	55	0	0	0	4	21	19	27	15	28
miR-130c-2-5p	82	532	238	31	41	8	4	3	0	62	2	119	31	40	13	97
miR-130b-5p	1031	7418	3832	310	460	467	532	1038	603	1155	244	2093	733	2104	199	1759
miR-130b-3p	0	243	118	5	2	73	3	10	67	0	0	77	11	11	11	17
miR-129-1b/2-3p	19	0	0	3	5	25	0	116	4	83	14	72	3	82	19	65
miR-129-1a/2-5p	2	25	229	4	0	57	0	0	0	61	7	11	0	2	0	51
miR-129-1a-3p_gac-miR-129-1b/2-3p	0	0	94	0	0	0	2	0	0	31	0	0	13	0	0	22
miR-128-2-3p	4626	36006	28156	2819	3313	2835	5618	2073	4025	9354	4994	7936	6862	27995	3886	23486
miR-126b-5p	274	1376	2748	210	141	515	539	0	299	883	350	2430	952	1876	156	4433
miR-126b-3p	3541	34288	39716	3913	2077	5460	4923	1773	4513	16496	6036	32319	16075	25893	2405	75540
miR-125b-2/3-5p	7410	13923	28219	2464	1272	12876	4355	2586	8195	34865	7373	18073	21300	132762	1484	24487
miR-125b-2-3p	204	223	647	34	8	75	306	291	98	428	89	254	177	583	37	745
miR-125a-5p	6966	51280	31888	3325	3154	8350	8941	4425	10288	41633	6640	14716	14528	77535	7306	33497
miR-125a-1-3p	0	79	448	10	37	51	84	0	0	0	3	26	26	80	17	185
miR-124-3p	0	66	0	0	0	0	0	0	0	37	0	1	2	29	1	5
miR-122-5p	5383	1281	1819	126	743	393	1118	168	1558	313	20	97	625	1362	110	45719
miR-122-3p	0	0	12	0	19	0	0	0	0	0	0	0	0	28	0	102
miR-10c-5p	454	600	882	114	77	511	581	385	260	449	104	236	153	783	56	527
miR-10b-5p	3418	30903	50095	8147	3221	14995	6322	5736	8025	10829	4912	14079	9899	24302	682	19662
miR-10545-5p	0	299	0	0	0	0	0	0	0	0	0	0	3	0	0	0
miR-103a-5p	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0
miR-103-3p	154	5653	1321	230	274	205	624	109	212	398	417	773	858	1653	539	1902
miR-101b-5p	221	998	273	26	54	14	11	0	29	717	228	275	275	1707	394	1117
miR-101b-3p	0	472	334	11	0	0	12	0	0	104	7	28	31	22	70	239
miR-101a-3p	380	16334	3579	996	933	829	2360	490	1093	1963	1650	1453	1539	4474	2715	11937
miR-100-2-5p	7988	29116	47979	9053	5139	25071	9217	8673	14041	26288	10045	23121	24820	90545	1349	45811
miR-1-3p	6944	11591	27127	7355	3362	12909	4353	10547	11051	11215	9734	16526	12326	63140	484	35441
let-7j-5p	1369	23791	15764	1247	928	965	1760	447	1775	2099	1441	2111	2746	5666	898	9778
let-7j-3p	1	105	170	6	24	0	0	0	0	4	6	7	32	58	4	38
let-7i-5p	337	6358	5695	330	411	919	488	534	1003	1947	726	1705	1783	5777	348	5237
let-7h-1-5p	7082	83025	44008	4564	7101	3237	8105	6732	5727	9971	5282	10347	10171	26614	4411	35376
let-7h-1-3p	142	1795	1088	58	45	90	195	68	82	333	141	394	547	1293	159	559
let-7g-5p	17007	211912	137714	18089	15442	9430	26168	12677	20996	40400	17616	30909	33066	116347	13552	121175
let-7g-1-3p	0	0	15	0	0	0	0	0	0	0	4	0	16	9	0	4
let-7f-5p	3141	74760	37514	4279	3224	1780	3609	2011	3743	5898	2958	5600	7460	15796	2672	28282
let-7f-3p	0	0	0	0	14	0	33	0	0	0	12	29	13	61	0	29
let-7e-5p	24640	606259	337549	54744	62379	31826	57816	37919	53312	56409	52914	83661	97908	141649	18055	200812
let-7e-1-3p	18	229	156	19	28	0	37	2	18	63	28	62	58	102	27	80
let-7d-5p	15932	92035	45264	6765	3098	5073	8043	10333	7328	21688	8792	17332	12417	47661	5699	52124
let-7c-2/d-3p	20	137	219	8	31	100	7	0	4	0	14	87	123	314	8	235
let-7c-2-5p	4220	7311	10402	1537	846	2246	1469	2593	2381	10254	2914	8454	6975	19696	580	17613
let-7b-5p	48009	106712	63051	12098	8214	10866	16161	21300	17603	90732	25689	58952	38201	141798	18280	167830
let-7b-1-3p	631	4596	2901	330	431	730	600	435	377	4558	987	3897	3033	7679	473	3113
let-7a-5p_gac-let-7c-2-5p	964	5872	3260	1122	705	592	1059	485	761	1477	1870	1585	1522	6515	1439	8490
let-7a-5p	200391	957707	598741	126093	97050	67705	129317	114832	110761	298400	186506	300960	330346	858195	100649	1035377
let-7a-5-3p	1	412	581	21	51	17	33	0	23	168	96	246	216	880	46	231
let-7a-4-3p	0	0	1	0	0	0	0	0	0	62	0	0	0	11	0	0
let-7a-3/7-3p	104	532	979	19	24	6	101	105	19	83	143	405	334	653	34	272
REV_let-7a-5p_gac-let-7g-5p	4	437	434	61	71	70	154	132	172	100	60	73	73	263	54	314
REV_miR-1306-5p	5	64	0	0	0	0	0	0	0	123	11	2	15	32	19	63
REV_miR-135b-3p	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-135b-5p	0	0	33	0	0	0	0	0	0	0	0	0	6	0	0	44
REV_miR-181a-2-3p	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-183a-3p	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0	0
REV_miR-18a-3p	46	133	67	17	20	4	2	0	0	0	1	57	8	23	0	16
REV_miR-7132b-3p	780	38792	14317	741	950	492	2432	166	1308	3418	828	3046	3030	7064	2566	8544
REV_miR-723-3p	0	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0
