;baseMean;log2FoldChange;lfcSE;stat;pvalue;padj
miR-30e-5p;1046.98291243845;-0.238265850027889;0.641505492549339;-0.371416695250764;0.710327192488291;0.966243378863126
miR-30e-3p;41092.5783432751;-0.35605525181078;0.922177017912364;-0.386102933487567;0.699420437377955;0.966243378863126
miR-30c-1-5p;19992.6898518756;-0.652927998253111;1.14497540323969;-0.570255043388411;0.568504727839716;0.966243378863126
miR-30bb-3p;25.0960437830059;1.10913475586041;2.89479501012083;0.383147943803495;0.701610072968924;0.966243378863126
miR-30a-5p;13544.2425672205;0.193400822899173;0.536554523554064;0.360449524529421;0.71851099679653;0.966243378863126
miR-29a-3p;38.2516540200061;-0.46584179983684;2.6525038903167;-0.175623418136145;0.860589803290227;0.966243378863126
miR-27e-3p;887.144682999672;0.261720556352396;0.669458679849081;0.390943555189092;0.695838958441219;0.966243378863126
miR-27c-1-3p;1054.74513561674;0.440483184478305;0.698079068160479;0.630993256450204;0.528044933740303;0.966243378863126
miR-27b-3p;1456.58073368564;0.278446993239666;0.754870976759956;0.368867000867899;0.712226861035054;0.966243378863126
miR-27a-5p;89.1590029766586;-0.851364191257898;1.84249296044049;-0.462071882789914;0.644029772783476;0.966243378863126
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p;33.2202862863187;-1.13741000178857;2.33666342135441;-0.486766725320368;0.626423653359924;0.966243378863126
miR-26b-3p;123.05493639866;-0.510064828473375;1.70569576168754;-0.299036229045173;0.76491240279277;0.966243378863126
miR-23b-2-5p;97.1393815785841;-0.895006259385498;1.3181155717578;-0.679004389722781;0.497135080553589;0.966243378863126
miR-23b-2-3p;1263.98136919216;-0.179491865459268;0.772520251584223;-0.23234583830156;0.81626941257829;0.966243378863126
miR-23a-3p;20597.3078999709;-0.436689862798581;0.584023829690652;-0.747726103967176;0.454625382457417;0.966243378863126
miR-223-5p;640.551130582095;0.237835990020352;0.863348404118669;0.275480893791819;0.782946802711007;0.966243378863126
miR-222a-5p;118.873971922415;-0.809941370835991;1.23706687249395;-0.654727233300765;0.512643388064725;0.966243378863126
miR-222-3p;3037.40858168175;-0.404724556884803;0.61692276398903;-0.656037644433558;0.511799903380227;0.966243378863126
miR-221a-5p;27.9649960209588;-2.0271794156455;3.23086342736743;-0.627442001563431;0.53036954296114;0.966243378863126
miR-218a-2-5p;130.342962950264;-0.269790886865927;1.07455129288485;-0.251073065243465;0.801757619858719;0.966243378863126
miR-2188-5p;1879.17488150059;-0.0991224511817012;0.648097095779029;-0.152943828675167;0.878442572196567;0.966243378863126
miR-210-5p;767.48853876237;0.425429852541616;0.827140738616956;0.514337926642288;0.607015749631522;0.966243378863126
miR-21-5p;64157.1928764367;-0.127638046570888;0.532226282983514;-0.239819134551913;0.81047047255241;0.966243378863126
miR-20a-5p;90.3797672439824;0.635011426436306;1.88443552155929;0.336976998773012;0.736134239402795;0.966243378863126
miR-205-1b-3p;34.6305971187423;0.385508962776186;3.16561711850877;0.121780034774953;0.903073226190054;0.966243378863126
miR-204-2b-3p;35.6636813566349;1.10209399702174;2.73686815405702;0.402684358538809;0.687180442050229;0.966243378863126
miR-200b-3p;56937.1809013743;-0.903697843813746;1.46510603129368;-0.616813953742163;0.537357447137953;0.966243378863126
