		B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
nomCol	Gene	B9_F	B31_F	B43_F	B54_F	B60_F	B27_F	C17_F	C19_F	C31_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T44_F	T47_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	B48_M	B49_M	B59_M	C13_M	C15_M	C20_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M	T41_M	T43_M	T45_M	T63_M	T69_M
miR-23a-3p	miR-23a-3p	37845	25423	28020	12713	12035	46908	17018	20839	12276	30418	19983	16299	42196	11382	4685	19150	14582	1281	6089	3011	1607	2104	39956	26539	38775	64487	10979	36111	6034	25885	18555	42151	19271	8034	14635	21832	9413	13944	19342	22077	3824	1748	2225	8250	12070	28048	1734	17758
miR-23a-3-5p	miR-23a-3-5p	39	88	31	25	5	196	0	0	102	115	105	54	3	2	0	0	11	10	119	0	0	0	72	70	47	168	4	55	18	132	100	172	172	71	68	90	83	81	32	60	0	0	0	0	38	113	0	59
miR-23a-2-5p	miR-23a-2-5p	134	187	94	62	45	253	0	341	70	40	60	0	90	0	0	0	0	0	0	0	0	0	109	58	118	209	25	197	34	217	52	89	75	163	38	13	2	19	27	16	0	0	0	0	0	0	0	0
miR-23a-1-5p	miR-23a-1-5p	84	53	17	3	35	360	0	0	0	7	20	31	60	0	0	0	0	0	0	0	0	0	197	99	175	230	0	43	4	75	61	123	0	68	6	14	0	20	29	170	0	0	0	0	0	0	0	0
miR-22b-5p	miR-22b-5p	747	725	1020	277	880	3857	222	359	163	1259	766	1286	1231	680	550	1757	2133	270	1107	535	194	290	9248	3205	4438	6747	255	677	163	228	710	1087	781	649	362	615	492	799	1027	1400	579	107	233	771	581	6635	377	1524
miR-22b-3p	miR-22b-3p	100	10	41	6	0	144	0	43	0	71	86	100	23	3	2	263	142	9	70	9	8	2	345	143	194	356	20	54	11	0	0	0	22	28	33	0	49	27	29	0	0	0	3	0	15	209	3	56
miR-22a-5p	miR-22a-5p	325	348	1334	211	241	2192	1051	193	94	2606	9475	2871	2566	699	168	1300	956	88	538	344	81	301	2557	1261	3655	3806	98	627	128	976	1136	1182	370	1751	638	1419	327	2218	1037	879	206	186	380	563	814	3584	71	1167
miR-22a-3p	miR-22a-3p	41620	21485	82635	10918	56301	180264	71065	219356	124117	59251	226601	235182	324588	44677	11536	96059	125230	15346	27742	13022	6936	23262	124877	75817	113073	149599	8311	71719	21266	97371	100911	130788	41186	239042	23298	36351	70853	72252	57044	98918	10883	8038	15293	31238	28304	91142	4664	105049
miR-223-3p	miR-223-3p	29905	15453	18402	9652	7249	21017	8120	2296	3022	29175	41299	96756	110392	10638	5142	19438	11689	1407	8252	7202	3864	2140	18594	10748	22578	31659	7057	20374	3270	12865	12534	6598	19393	96892	32766	44183	15879	113078	53947	28156	5894	993	2854	16935	16758	22606	2465	9375
miR-222c-5p	miR-222c-5p	26	0	14	2	0	41	0	34	0	23	40	0	0	41	13	506	107	30	0	27	0	73	97	2	64	93	1	16	1	0	0	97	0	91	13	0	0	8	0	11	0	0	0	42	49	70	0	86
miR-222a-5p	miR-222a-5p	103	0	4	3	41	35	55	111	79	30	212	57	151	56	30	289	0	0	0	57	0	0	62	13	98	58	8	134	42	262	203	32	0	89	6	61	0	23	0	184	0	0	0	70	116	71	42	89
miR-222-3p	miR-222-3p	3431	1373	2839	799	176	4151	3200	3005	1385	2721	13965	1084	5490	447	461	2774	1451	194	1122	599	80	215	2638	2015	3452	6368	464	2214	346	3465	3947	4881	830	2892	768	1729	568	1503	1512	1269	369	85	208	1637	1519	2495	257	2549
