Gene	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a37_gac-miR-103-3p	1389	4496	4090	3347	1818	2845	2274	3082	1432	1229	2970	5445	4616	1077
a172_gac-miR-101b-5p	838	1459	1397	2218	40	1240	2010	2176	1477	722	1728	2591	2043	749
a19_gac-miR-101b-3p	0	118	73	371	0	84	35	10	37	39	46	48	79	43
a138_gac-miR-101a-3p	7721	19798	14546	15213	6053	8739	5663	5132	4791	4277	7629	12498	16406	2817
a9_gac-miR-100-2-5p	24856	92264	88873	79851	64393	44415	86760	72395	134722	59105	165279	265075	86381	64755
a18_gac-miR-1-3p	868	8213	58496	129289	23584	4454	12870	10770	160941	2472	116461	130999	46318	31981
a194_gac-let-7j-5p	2297	16109	15745	15273	12514	8559	6186	7735	7645	4360	10035	11017	13881	7786
a92_gac-let-7j-3p	145	576	288	254	311	234	77	153	86	115	261	319	348	128
a192_gac-let-7i-5p	729	3880	2955	3571	2968	1549	1717	1804	2705	993	3877	4149	1497	2151
a184_gac-let-7h-1-5p	13627	27450	37463	32723	41365	17700	28446	26825	22200	19775	31547	40803	51106	21372
a82_gac-let-7h-1-3p	2583	1898	1605	1071	201	647	746	1190	671	481	780	1037	3367	536
a191_gac-let-7g-5p	35732	111586	154150	142540	137177	104094	101917	132083	136896	52644	122840	186830	193838	77638
a84_gac-let-7g-1-3p	0	10	0	0	0	16	10	13	0	0	8	23	0	0
a186_gac-let-7f-5p	4929	24206	24820	28363	31223	13164	13236	13490	17717	11845	27029	24674	28558	16538
a185_gac-let-7e-5p	58401	298007	343103	205277	355976	135579	106073	119277	155175	107633	215288	252512	306157	171348
a83_gac-let-7e-1-3p	192	362	387	167	0	162	93	86	41	62	100	144	477	50
a193_gac-let-7d-5p	39157	34684	35295	84904	59504	16271	59547	53887	50483	39787	43800	78371	64411	39780
a91_gac-let-7c-2/d-3p	0	93	89	89	169	22	43	96	95	57	134	178	204	33
a189_gac-let-7c-2-5p	10288	11033	16192	52299	24048	9108	48106	42759	63182	40841	39856	85507	36991	27889
a190_gac-let-7b-5p	182043	63508	77153	246195	252435	49355	371754	258049	163782	178414	132984	218227	304515	124872
a81_gac-let-7b-1-3p	4408	2867	2021	4443	280	1248	3018	3144	2445	1355	2917	3394	6114	1638
a187_gac-let-7a-5p_gac-let-7c-2-5p	1150	1630	1831	2979	1225	1929	4017	2413	3313	2055	3717	7397	4069	2406
a188_gac-let-7a-5p	457081	801342	984027	1181453	1331474	578961	1110439	1031757	1067004	746327	1150805	1548913	1962339	826059
a85_gac-let-7a-5-3p	318	1610	1147	498	132	586	261	374	360	303	492	730	1238	320
a158_gac-let-7a-3/7-3p	180	404	457	754	555	227	365	384	185	129	317	512	1098	160
a267_REV_gac-let-7b-5p_gac-let-7c-2-5p	0	4	0	0	0	0	6	0	0	2	0	28	8	2
a257_REV_gac-let-7f-3p	0	30	36	0	0	9	3	0	14	13	7	3	65	1
a266_REV_gac-let-7i-1-3p	0	15	11	52	0	0	0	0	0	0	0	0	0	3
a253_REV_gac-miR-103a-5p	0	18	1	0	0	8	5	0	4	1	6	15	7	2
a252_REV_gac-miR-10c-3p	0	0	0	82	0	4	0	8	0	0	3	0	0	2
a260_REV_gac-miR-132-3p	0	48	56	34	0	19	70	43	13	19	83	109	38	26
a250_REV_gac-miR-181b-2/3-5p	0	58	46	55	175	20	38	64	52	16	55	59	32	24
a268_REV_gac-miR-190a-5p	0	21	14	62	0	35	2	15	3	0	20	10	12	3
a261_REV_gac-miR-191-5p	18294	124861	105269	24937	33519	37528	24636	41492	24295	38289	32276	65703	87779	38833
a269_REV_gac-miR-27b-3p_gac-miR-27c-1-3p	0	110	108	35	103	57	26	63	45	21	49	75	44	14
a256_REV_gac-miR-730-3p	0	3	4	0	0	4	21	19	0	11	21	0	0	0
