Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D15_M_MP	D21_M_MP	D22_M_MP	D24_M_MP	D46_M_MP	D48_M_MP	D50_M_MP	D52_M_MP	D57_M_MP	D60_M_MP	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP	D25_M_I	D45_M_I	D53_M_I	D56_M_I	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a45_gac-miR-22a-5p	2702	8129	2974	2935	2883	7279	2416	3244	1785	2986	5896	732	1009	5281	893	1327	315	3784	3482	951	1926	2187	2208	3225	360	3762	2028	2670	7613	1131	3599	3204	2113	1371	3411	5862	4421	1019
a13_gac-miR-22a-3p	191622	218084	227863	218218	72301	268372	239869	214160	116813	111670	114069	39338	62802	272223	50796	48994	14610	257065	154365	52657	50206	131658	108935	93826	90274	58402	93148	170826	232246	35130	68791	73495	104895	66388	155545	237791	129189	106072
a219_gac-miR-223-5p	952	590	2168	1369	2656	1158	901	1056	789	1309	916	2285	2115	1033	308	2495	165	820	1265	351	421	3538	3195	803	1014	846	1065	605	969	1152	350	447	792	801	843	1754	2641	768
a173_gac-miR-223-3p	41005	26536	88008	41121	74241	42136	10791	18426	21295	39005	39678	47952	64021	33591	10734	59933	6386	40154	28337	7982	17047	105852	73131	33042	22288	42046	32496	16318	48381	71416	16901	33812	32267	39008	36222	105419	106510	22038
a201_gac-miR-222c-5p	93	98	72	134	306	126	158	147	57	65	74	57	75	180	4	23	9	58	85	51	188	145	85	338	127	0	110	302	105	54	46	46	21	18	125	123	115	47
a200_gac-miR-222a-5p	215	112	180	181	284	114	320	182	54	16	99	115	144	357	46	709	119	226	234	98	178	321	124	980	108	0	321	1330	516	140	68	32	34	46	160	115	61	108
a39_gac-miR-222-3p	11533	9460	10742	6730	8245	12339	5843	6293	4218	3430	7032	2670	3908	12364	3263	7965	2223	16984	12100	2879	3573	9168	4749	11304	4306	4455	6702	19355	17788	4013	5997	6348	4704	3386	9843	8494	8002	4957
a25_gac-miR-221a-5p	95	74	61	18	0	27	46	36	7	15	10	38	17	19	0	0	0	83	0	12	0	45	22	0	0	92	27	23	18	7	40	2	20	0	4	1	0	0
a40_gac-miR-221-3p	12117	8789	8401	4635	5859	8101	3125	3935	2516	2704	4618	2119	2876	9089	1164	3818	1159	6755	5266	1566	3998	6000	3492	6613	1654	4986	2890	9827	9014	3599	5556	5590	3526	1882	7798	6165	6654	3068
a77_gac-miR-21a-3p	43	89	206	35	57	9	40	19	32	32	0	22	11	46	0	38	19	145	0	37	161	172	63	186	0	0	15	220	19	11	5	0	5	10	14	0	32	4
a238_gac-miR-218b-5p	1	6	1	0	50	16	0	0	6	0	23	6	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	24	29	0	5	22	18	0	12	2	0	6	11	6	44	0	29	7	59	99	11	0	26	1	20	0	0	30	0	28	19	0	0	1	4	4	12	0	9
a239_gac-miR-218a-2-5p	588	735	417	632	412	626	929	1000	229	591	821	418	260	1529	132	448	226	2168	818	269	0	532	564	804	441	0	976	1690	986	303	244	254	795	110	407	405	145	272
a15_gac-miR-2188-5p	13244	29628	11272	10353	36549	16073	4535	5089	10512	41236	50745	20031	46392	27085	8753	21316	6622	21249	17468	8182	11581	26037	19218	44477	8101	30700	28765	15305	58496	35686	30548	38235	31969	10481	21453	69073	46500	8249
