Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D25_M_I	D45_M_I	D53_M_I	D56_M_I
a148_gac-miR-15a-2-5p	26205.266435698	25760.7721961665	38056.0397660927	40906.5580308299	76793.8664525448	21549.9899177423	19020.1772242459	17203.3029927523	31358.5276160291	78604.036412774	47180.7482914073	41748.7024869752	25170.6780517607	27738.081394166
a225_gac-miR-155-5p	1791.62947963866	250.392032642606	2481.4033524828	2068.08427440796	5471.41258676541	643.377888565584	2344.62562009572	2129.59994031442	2177.03219786317	1079.51920788813	589.032625079182	833.800636124389	1515.58590392782	495.245788983108
a16_gac-miR-152a-5p	800.21820283621	1108.15392824937	831.061964839127	886.055908747243	1146.09846319885	1117.19559467669	990.988379707483	538.566780272565	794.848351390043	1022.58933921344	463.576325711668	920.678374935726	708.82276120173	914.632011285118
a169_gac-miR-152a-3p	2911.93496360935	2696.7898650832	3031.25531409659	1739.53623261407	1502.66242952739	846.216237670005	2345.88481752864	2006.26403643521	1156.14305656734	1857.20269695381	907.263238108974	1003.04298445816	865.693372287358	351.544333400214
a29_gac-miR-150-5p	12010.7918712946	25750.6211678161	8788.20535219297	2671.19796019389	1493.88006582471	3868.98304170659	2086.49014634727	8604.73489397312	3090.45932428576	6938.99908751974	23622.5031979807	3828.26191930995	2337.28910485254	3369.274900641
a78_gac-miR-150-3p	34.3717885781996	87.9755790365912	28.2781008829949	7.4458479726659	0	0	0	132.586096670154	7.4111734395342	36.5210478290513	0	18.0525171556025	42.330164896122	27.1367555607183
a170_gac-miR-148a-3p	3207.31752170325	2672.25821323646	2778.32341175425	1358.86725501153	1284.85980970109	1173.45154306112	2089.00854121311	2024.76442201709	1341.42239255569	1450.10042850645	1418.26816480104	590.091654523756	1272.39495658343	602.559322336858
a183_gac-miR-146a-5p	95250.6708605496	26189.6531439698	48033.496360976	44637.8585961321	20560.3916643282	23389.7971311035	60022.1640349639	48913.991679297	27721.4942505777	14346.3269060238	14487.1426672072	57263.7126998933	119276.444638473	30649.7319169422
a53_gac-miR-146a-3p	1059.08073556578	391.66051051867	648.039811901966	507.248393137865	370.615748252809	541.958714013374	666.115442014306	341.229334065824	468.756720050538	398.509080722883	1060.25872514253	658.91687617949	3120.81215704743	596.39187789124
a121_gac-miR-145-5p	2766.92898054507	8778.94768501676	2907.14587133234	2699.11989009139	2829.67758500131	3486.28412523223	1327.19409429693	1562.25478247004	1988.04727515505	2299.75186476467	1892.55417460506	3100.51982147473	5981.83330208532	3828.13276739496
a113_gac-miR-145-3p	2455.43464655514	3852.31525896766	2412.27910587992	3322.70965780216	1110.09077201789	2665.42268120028	2528.46844530194	3504.79526856765	2230.76320529979	1399.61545062511	1548.31432877956	3127.59859720813	3038.64183695496	1838.51518923866
a48_gac-miR-144-5p	7410.34279378123	6561.79390948883	7327.9556427072	11617.384299352	105422.615650519	7088.24949643808	14936.5999492886	12448.7038982086	14214.6306570266	21419.5945517386	8047.56261796493	15191.1931864395	8788.90423696149	11190.8279465735
a80_gac-miR-144-3p	603.654536904631	850.148624343982	878.192132977452	396.491404544459	4355.17416015564	335.158678403008	895.289374805617	594.067937018211	698.503096676098	1526.36496956123	1865.01498693902	833.800636124389	1384.44539307317	954.720400181633
a120_gac-miR-143-5p	33.2976701851309	50.7551417518795	63.6257269867385	14.8916959453318	134.3701646509	22.9777817344852	0	0	20.3807269587191	17.1863754489653	0	7.89797625557608	0	26.5200111161565
a55_gac-miR-143-3p	37558.6978504346	77214.6430661635	44955.1108787411	57304.1767286334	40409.41186874	38970.3178216868	66573.768278443	57472.4756093155	32548.0209530743	21824.5485232548	13205.040485866	47109.1717998669	188311.963564648	50719.212887427
a66_gac-miR-142-5p	1203.01260023699	281.691036722931	2995.90768799285	1107.56988593405	5494.24673239236	257.509622886472	769.369631513688	726.654033688366	589.188288442969	893.691523346196	686.949736780657	766.10369679088	1826.00711316605	492.778811204861
a218_gac-miR-142-3p	257.788414336497	245.316518467418	1223.02786318953	491.42596619595	2362.45583601909	110.134884865291	107.03178179814	365.896514841666	361.294705177292	482.292661036589	869.014366350586	232.426158378382	392.5915293307	154.186111140445
a65_gac-miR-140-5p	118.153023237561	1042.17224397193	181.451147332551	151.709152443068	1093.40428098281	167.183170550909	200.212391834167	316.562153289981	153.781848870335	172.937902955213	0	267.402910367362	341.131328868748	335.508977841608
a139_gac-miR-140-3p	3339.43408405071	24035.0973766026	3481.34841981759	4336.27571308131	14189.6650344091	3483.11477602747	5753.27307100825	3185.14971768069	4854.3186028949	9670.55863543967	2845.7160588241	18131.4969181582	13446.8823820014	11639.8179022145
a180_gac-miR-139-5p	1674.55057479416	990.571183190849	974.808977661018	808.805236030834	682.389659697708	789.960289285576	1104.31614867022	730.76523048434	711.472650195283	455.438949397581	2056.25934573096	1991.4182987274	1112.20433256477	859.74175571912
a54_gac-miR-1388-3p	857.146477668853	273.231846430952	2239.46848937273	4186.4280226314	3451.46893515057	244.832226067445	1172.31281004786	575.567551436329	980.127687378398	677.78768176857	1459.5769463001	828.159224513264	2015.24785034871	356.478288956708
a160_gac-miR-135c-5p	316.864925955278	126.041935350501	48.7011737429356	109.826257596822	40.3988730322967	80.0260674201035	265.690658345971	94.557526307397	125.989948472081	12.889781586724	206.543907495298	3.38484696667546	143.590559353512	14.1851222249209
a162_gac-miR-135b-5p	5.37059196534369	26.2234899051378	15.7100560461083	15.822426941915	0	53.0865991796726	39.0351204204981	0	3.7055867197671	88.0801741759472	0	22.5656464445031	0	11.101400002112
a163_gac-miR-135a-2-5p	0	0	0	0	0	0	0	0	0	0	0	7.89797625557608	11.6200452656021	31.4539666726507
a161_gac-miR-135a-1-5p	0	74.4408745694233	0	27.9219298974971	0	23.7701190356743	0	0	11.1167601593013	7.51903925892232	0	4.51312928890062	0	5.55070000105601
a246_gac-miR-133b-3p	5.37059196534369	104.893959620551	5.49851961613789	53.0516668052446	59.7200731781778	87.1571031308058	36.5167255546595	1.02779919899345	9.26396679941775	5.37074232780166	71.9078789057703	0	0	268.283833384374
a41_gac-miR-133a-5p	32.2235517920622	284.228793810525	62.8402241844331	220.583246190227	0	140.243702310478	35.2575281217402	76.0571407255149	11.1167601593013	70.8937987269819	0	0	42.330164896122	123.348888912356
a245_gac-miR-133a-3p_gac-miR-133b-3p	24.704723040581	131.117449525689	2.35650840691624	80.0428657061585	0	67.3486706010772	0	47.2787631536985	12.9695535191849	0	3.05990974067108	0	0	377.447600071809
a236_gac-miR-133a-3p	2221.27683686615	23461.5642748063	1677.04848292206	22052.7402330432	1493.88006582471	19888.4585971487	3032.14741846966	4691.90334340508	1528.55452190393	2569.36312962031	2264.3332080966	310.277638611918	761.942968130196	61633.7393228368
a64_gac-miR-130c-3p	62.2988667979868	0	47.9156709406302	20.4760819248312	201.994365161484	27.73180554162	18.8879614937894	0	31.4974871180204	32.22445396681	108.626795793823	64.3120923668338	58.9302295612679	42.5553666747627
a104_gac-miR-130c-2-5p	128.894207168249	98.1266073869671	186.164164146383	221.513977186811	352.172784477196	332.78166649944	118.364558694413	380.285703627575	226.040789905793	183.679387610817	84.1475178684546	53.0292691445823	78.850307159443	209.076366706443
a30_gac-miR-130b-5p	6519.89864592724	8689.28026792178	7781.97626243973	6852.97232784238	5072.69327466404	12362.8389104542	7893.90870697104	10224.5464315868	11248.308487853	11637.3244758806	4467.46822137977	5754.23984334829	6308.02457275544	6973.52943466003
a62_gac-miR-130b-3p	52.6318012603682	42.2959514598996	79.3357830328468	44.6750878359954	74.6500914727223	22.185444433296	0	134.641695068141	20.3807269587191	70.8937987269819	206.543907495298	90.2625857780124	156.040607852371	109.780511131997
a70_gac-miR-1306-5p	149.302456636555	394.198267606264	156.315057658777	112.618450586572	100.118946210475	135.489678503343	115.846163828575	483.065623526919	192.690509427889	678.86183023413	1970.58187299217	197.449406389402	148.570578753056	194.891244481522
a12_gac-miR-129-1b/2-3p	20.408249468306	0	7.85502802305413	0	0	9.50804761426972	0	0	0	0	0	0	0	8.6344222238649
a96_gac-miR-129-1a/2-5p	0	13.5347044671679	12.5680448368866	65.1511697608267	22.8341456269503	12.6773968190263	11.3327768962736	0	29.6446937581368	48.3366809502149	0	67.6969393335093	0	60.4409555670543
a117_gac-miR-128-2-5p	5.37059196534369	0	18.0665644530245	2.79219298974971	0	7.92337301189143	0	86.3351327154494	3.7055867197671	0	0	0	0	3.70046666737067
a166_gac-miR-128-2-3p	21218.1347366799	26771.6454360581	28483.9026171989	33311.7930987107	38531.7425091084	21831.2696596645	36353.02988838	34646.08319887	33467.0064595766	84575.2277328239	55131.9237525411	32524.9945027845	20077.778212494	26703.1842161913
a68_gac-miR-126b-5p	3098.83156400331	3347.30159853646	3878.02733498183	1603.64950711292	1478.0718111599	2714.54759387401	1208.82953560252	2273.4918281735	1624.89977661787	1855.05440002269	3638.23268165791	5308.56832606935	2985.52163002649	3532.09543400531
a179_gac-miR-126b-3p	90219.5003074156	87497.6347850943	136810.237574732	83221.3120594902	76995.8608177063	101190.981409468	123042.477157709	123552.769510201	71708.661407573	50139.1020754252	78410.1871046963	230299.346200987	143889.360517485	168175.72537644
a175_gac-miR-125b-2/3-5p	93256.0330046209	227135.180772865	56281.2757851829	80971.7352407485	57990.8257651215	196999.615531958	63559.2496240342	83274.3467008469	117068.748444242	94620.6641827441	84661.5827048873	112605.960605037	100615.481945149	157570.187907755
a28_gac-miR-125b-2-3p	526.318012603682	603.986186847367	119.396425950423	320.171462824634	124.70956457796	578.406229868075	1098.02016150562	941.464066277996	466.903926690655	293.242531097971	696.12946600267	90.2625857780124	78.0203039261857	347.227122288281
a176_gac-miR-125a-5p	50102.2524446913	83413.5377121264	37852.5945402956	43802.9928921969	24947.1823338135	101495.238933125	65861.0625314107	65575.6444941798	70213.457166147	39348.2065904061	77299.4398688327	140441.813776654	137630.306135491	121153.278689716
a61_gac-miR-125a-1-3p_gac-miR-125a-2-3p	54.7800380465057	128.579692438095	45.559162533714	61.4282457744937	98.3624734699399	106.173198359345	10.0735794633543	134.641695068141	70.4061476755749	55.8557202091373	27.5391876660397	66.5686570112841	158.530617552143	120.881911134109
a129_gac-miR-124-3p	45.112972508887	16.0724615547619	75.4082690213197	13.9609649487486	86.9454006564647	15.8467460237829	0	0	11.1167601593013	3.222445396681	0	13.5393878667019	0	0
a123_gac-miR-122-5p	662090.873961143	409379.130504252	366566.665237856	154723.790141001	5652.32927904048	118401.339928597	220384.734709535	181543.255915809	367581.233047377	95537.9869723326	923191.598264037	3751.53872139864	39582.0241908071	10493.9067242187
a11_gac-miR-122-3p	3046.19976274294	1803.49937025012	1878.13720031224	560.300059943109	0	558.597797338346	526.344526960264	287.783775718165	1263.60507144058	201.939911525342	2103.68794671136	68.8252216557344	434.091690993565	155.419600029568
a141_gac-miR-10c-5p	3901.19800362566	7246.14240411	7188.92164669914	6513.2555140895	1521.105393303	4696.97552144924	5389.36501289457	6667.33340387048	2366.01712057129	1902.31693250735	2923.74375721121	12636.7620089217	39248.3628910377	1762.038878113
a140_gac-miR-10b-5p	34158.0390179789	50003.9656539517	29827.1124091412	53405.3445839462	23821.2833071308	75218.9570137889	69560.5845893276	68855.3517381679	53240.0171962538	36732.6550767667	13480.4323625264	55734.8901532782	51993.8925409367	43299.1604749042
a132_gac-miR-10545-5p	20.408249468306	10.1510283503759	0	13.9609649487486	33.3729820701582	17.4314206261612	21.406356359628	0	11.1167601593013	0	0	9.02625857780124	43.9901713626366	0.616744444561779
a90_gac-miR-10545-3p	152.524811815761	36.3745182555137	20.4230728599407	18.6146199316648	0	42.7862142642137	147.326099651557	23.6393815768492	46.3198339970888	52.6332748124563	0	29.335340377854	54.7802133949814	65.9916555681103
a37_gac-miR-103-3p	2404.95108208091	2877.81653733157	3374.52003870406	2764.27105985222	5232.5322940527	1773.2508800613	2275.36976128516	2049.43160279293	2243.73275881898	4289.07482298241	2457.10752175887	2176.45659957232	3552.41383834122	1313.04892247203
a172_gac-miR-101b-5p	759.401703899598	910.20887541704	702.23950526104	740.861873280257	1756.47274053464	523.734956086024	467.162247613057	356.646322050725	772.61483107144	2380.3129996817	4008.48176027911	1198.23582620311	839.133268823125	1050.31578908871
a19_gac-miR-101b-3p	182.600126821686	190.331781569548	241.934863110067	51.1902048120781	240.636765453246	15.8467460237829	44.0719101521752	40.0841687607444	88.9340812744104	117.082182746076	0	121.854490800317	23.2400905312042	28.9869888944036
a138_gac-miR-101a-3p	9706.80791816219	13208.1797218975	15688.847470446	9271.01145696563	12094.1930549513	4800.77170790502	9483.01586731519	9657.20127374241	7683.53406343708	30720.6461150255	6979.65411847073	11502.8382750855	7949.77096813837	5286.11663433901
a9_gac-miR-100-2-5p	73782.2665382847	145664.719070807	49259.6662353748	110429.371282608	46492.9552055817	135612.490785028	98422.6489492706	105411.085848768	79942.4750988955	77717.8639286867	30335.9451690131	114697.796030443	208480.212129567	111806.516632382
a18_gac-miR-1-3p	14732.6078793308	68225.9074619057	13072.3376359667	148194.71219997	10361.4326964138	88697.4068443175	63814.8667029168	98053.0713831737	14109.0214355132	13953.1885676287	5541.49654035532	1674.37096618213	3242.82263233625	135893.470914742
a194_gac-let-7j-5p	8137.52094588876	4802.282328757	10825.7996213732	15538.5539879572	26266.293361955	7384.58364708282	13813.3958391246	10588.3873480305	11680.0093407059	13825.364900227	8453.00065860385	10504.3084199162	9374.88651964114	9185.17501285857
a92_gac-let-7j-3p	169.710706104861	152.265425255639	211.300253820156	161.0164624089	616.521931927659	177.483555466368	195.17560210249	136.697293466128	137.106708631383	329.763578927022	362.599304269523	221.14333515613	166.830649884716	308.988966725451
