Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a200_gac-miR-222a-5p	198.177247880586	82.7615417436921	124.65879447883	146.018901612409	217.329982891964	75.627870599526	348.095896726311	162.748076105961	87.6575193936437	14.4660836696734	175.369064726075	84.8572159448831	40.6956833600887	44.2829046712573	86.0363453267879	144.294867536893	73.5500352578073	44.8810595876087	167.72288447279
a39_gac-miR-222-3p	10630.5962781712	6990.39450799399	7439.35983495326	5429.32159033984	6309.45672163465	8185.72188883817	6356.01351428699	5627.32770843305	6847.02623708128	3101.16668668624	5026.82897675528	7483.657706198	8073.00618655759	6126.67010510571	6333.02315818486	8876.83988228524	5432.46956069404	5887.51211180401	7698.16979936684
a25_gac-miR-221a-5p	87.5666909239799	54.6817329377965	42.2454803511589	14.5212167349357	0	17.9118640893614	50.0387851544072	32.1919271418385	11.3630117732501	13.5619534403188	8.76845323630374	49.916009379343	2.54348021000554	26.0487674536808	0	3.60737168842233	0.639565523980933	0	0
a40_gac-miR-221-3p	11168.9009886933	6494.56419986884	5818.10295787026	3739.21330924594	4483.5787667747	5374.22262918211	3399.37399146788	3518.75648064263	4084.19108878533	2444.76814017481	4508.23759963674	6933.33370279074	7109.02718696549	4592.39770208392	3520.00873706554	7032.57110657933	3942.92145534245	4895.71427042538	4764.57231076407
a77_gac-miR-21a-3p	39.6354495761172	65.7658679927553	142.665064792438	28.2356992068194	43.6190458621195	5.97062136312048	43.5119870907889	16.9901837693037	51.9451966777148	28.9321673393468	13.778997942763	6.23950117241787	0	6.51219186342019	18.7035533319104	12.6258009094781	0	23.5441624066144	6.2119586841774
a238_gac-miR-218b-5p	0.921754641305052	4.4336540219835	0.69254885821572	0	38.2623209316838	10.6144379788808	0	0	9.73972437707152	0	0	1.24790023448357	0	0	0	0	0	0	0
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	22.1221113913212	21.4293277729203	0	4.03367131525991	16.8354212099409	11.941242726241	0	10.7306423806128	3.24657479235717	0	23.8000873556816	0	0	1.30243837268404	7.48142133276416	3.60737168842233	7.6747862877712	0	13.9769070393991
a239_gac-miR-218a-2-5p	541.99172908737	543.122617692979	288.792873875955	509.856054248852	315.281524477074	415.289885923713	1010.56590018357	894.220198384404	371.732813724896	534.340965548561	379.548761514291	304.487657213992	323.021986670704	1035.43850628381	205.739086651014	367.050069296972	259.024037212278	106.684485904971	422.413190524063
a15_gac-miR-2188-5p	12207.7184694441	21893.3835605545	7806.4107298076	8352.11982537717	27968.9913546422	10662.8663521595	4933.17153641819	4550.68658957823	17063.9971086293	37282.7141376658	44701.5745986765	38120.8563630042	48624.9829147809	41637.652336336	19603.1942471753	19347.236207931	44176.709437935	34212.6109971115	12810.6117964448
a108_gac-miR-2188-3p	17361.2486689807	49568.2519657756	21856.1494164299	44910.0896898408	82719.3116222071	38371.1932936543	51016.7170642727	50404.5099223337	84305.4309205349	150562.094703731	74607.0106791787	95425.6830307245	100138.087608023	102961.660675791	52749.6314619869	60115.0455017139	114125.99079573	113603.526632215	42373.3231744451
