Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D27_G_F	D28_G_F	D29_G_F	D31_G_F	D35_G_F	D36_G_F	D38_G_F	D41_G_F	D44_G_F
a45_gac-miR-22a-5p	2702	8129	2974	2935	2883	7279	2416	3244	1785	2986	1131	3599	3204	2113	1371	3411	5862	4421	1019
a13_gac-miR-22a-3p	191622	218084	227863	218218	72301	268372	239869	214160	116813	111670	35130	68791	73495	104895	66388	155545	237791	129189	106072
a219_gac-miR-223-5p	952	590	2168	1369	2656	1158	901	1056	789	1309	1152	350	447	792	801	843	1754	2641	768
a173_gac-miR-223-3p	41005	26536	88008	41121	74241	42136	10791	18426	21295	39005	71416	16901	33812	32267	39008	36222	105419	106510	22038
a201_gac-miR-222c-5p	93	98	72	134	306	126	158	147	57	65	54	46	46	21	18	125	123	115	47
a200_gac-miR-222a-5p	215	112	180	181	284	114	320	182	54	16	140	68	32	34	46	160	115	61	108
a39_gac-miR-222-3p	11533	9460	10742	6730	8245	12339	5843	6293	4218	3430	4013	5997	6348	4704	3386	9843	8494	8002	4957
a25_gac-miR-221a-5p	95	74	61	18	0	27	46	36	7	15	7	40	2	20	0	4	1	0	0
a40_gac-miR-221-3p	12117	8789	8401	4635	5859	8101	3125	3935	2516	2704	3599	5556	5590	3526	1882	7798	6165	6654	3068
a77_gac-miR-21a-3p	43	89	206	35	57	9	40	19	32	32	11	5	0	5	10	14	0	32	4
a238_gac-miR-218b-5p	1	6	1	0	50	16	0	0	6	0	0	1	0	0	0	0	0	0	0
a237_gac-miR-218a-2-5p_gac-miR-218b-5p	24	29	0	5	22	18	0	12	2	0	19	0	0	1	4	4	12	0	9
a239_gac-miR-218a-2-5p	588	735	417	632	412	626	929	1000	229	591	303	244	254	795	110	407	405	145	272
a15_gac-miR-2188-5p	13244	29628	11272	10353	36549	16073	4535	5089	10512	41236	35686	30548	38235	31969	10481	21453	69073	46500	8249
a108_gac-miR-2188-3p	18835	67080	31559	55669	108095	57840	46899	56367	51935	166527	59560	76469	78741	79053	28203	66658	178443	154404	27285
a137_gac-miR-2187a-5p	1	1	0	1	0	2	27	0	0	3	0	0	0	0	0	0	0	0	4
a5_gac-miR-2184-5p	158	227	112	112	242	141	410	204	117	76	68	50	82	147	89	159	294	115	76
a142_gac-miR-217a-5p	158	154	441	126	25	87	52	78	50	35	11	36	25	88	33	59	39	40	36
a135_gac-miR-216b-5p	34	36	82	17	0	14	0	0	0	0	7	7	15	2	0	3	5	0	7
a58_gac-miR-214a-3p	5841	17914	3447	5621	6276	16968	4033	3310	3767	5642	2938	8852	7702	7734	7109	5627	14956	7049	3926
a27_gac-miR-212b-5p	10	5	15	19	0	13	0	0	0	0	0	0	0	16	0	0	20	0	2
a26_gac-miR-212a-5p	12	54	27	67	21	75	37	0	8	41	39	73	44	107	17	104	146	0	56
a38_gac-miR-210-5p	4045	3513	4853	4026	3499	4012	1424	1723	1595	2803	2037	2374	2227	2124	1191	3605	4388	3210	2266
a94_gac-miR-210-3p	523	307	798	389	1467	249	266	216	135	482	683	250	379	203	143	540	563	387	212
a52_gac-miR-21-5p	195784	212114	296374	263999	451595	300090	212405	227740	166499	231336	157103	117849	133790	157583	148233	227448	329855	366226	131629
a56_gac-miR-20b-5p	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	2
a126_gac-miR-20a-5p	178	384	503	377	1463	259	183	138	102	399	400	197	125	92	64	281	263	215	105
a203_gac-miR-206-1-3p	8246	72617	9943	101256	9786	119642	31322	56500	9443	10888	2566	33001	14571	91455	2536	120134	92268	30863	20393
