Gene	O25_F	O32_F	O55_F	O59_F	O63_F	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M
miR-27a-5p	20.6227543085345	22.6406612222071	31.0435029514032	21.2238160808105	0	17.9761153609434	0	38.0954676889866	68.8174016027378	0	31.7784758792014	49.6299060673875	43.4250701262448
miR-27a-3p_gac-miR-27b-3p_gac-miR-27e-3p	30.0502991352932	22.6406612222071	0	0	19.962028677049	40.1819049244618	0	33.5240115663082	27.9570694011122	0	5.67472783557167	22.9992247629357	54.4942056486209
miR-27a-3p	414.222750825708	131.105224286734	2.82213663194574	76.8100010543618	0	173.416642305572	20.3465408052172	182.858244907136	125.806812305005	85.3819399645918	66.9617884597457	133.153406522259	209.462102961887
miR-26b-3p	97.810777577621	63.7097676252805	201.077235026134	29.3090793496907	129.753186400819	15.861278259656	21.9742640696345	88.381485038449	76.3443049030373	129.851700362817	21.5639657751724	49.6299060673875	25.544158897791
miR-26a-1b-3p	39.4778439620518	88.4565368681581	85.3696331163587	194.046318453125	9.98101433852452	100.454762311155	75.6891317954078	77.7147540855327	46.2366917018395	64.0364549734438	39.7230948490017	93.2073845655814	91.9589720320477
miR-26-5p	94154.068627942	100937.332998651	52711.8680114826	70040.1090535376	47467.7079911549	64239.2343701574	62144.8465121909	67087.642419013	53521.6588246293	54269.1167995777	62786.3237183321	49516.1204290866	50902.6969075915
miR-24-6-5p	4.71377241337933	7.89790507751411	0	36.3836847099609	0	13.7464411583685	0	4.5714561226784	22.5807099008983	0	0	7.26291308303232	0
miR-24-3p	2198.97483084146	1203.64073381315	780.320778732998	1626.14857495353	744.583669653929	2060.90875520463	552.612048269698	1837.72536131671	1476.34831875873	3264.08041322971	1256.38474279557	1157.22415122982	1005.58838860971
miR-24-2-5p	106.649100852707	47.9139574702523	11.288546527783	160.694607468994	41.920260221803	121.603133324029	61.8534840478602	214.858437765885	144.086434605732	48.0273412300829	124.844012382577	196.098653241873	65.563341170997
miR-23b-2-5p	64.8143706839657	24.22024223771	192.610825130297	4.54796058874511	139.734200739343	267.526893312864	0	118.857859189638	152.688609806075	451.812765645965	94.2004820704898	205.782537352582	107.285467370722
miR-23b-2-3p	3783.98080484025	2409.38757564697	2379.76671488825	1107.68106783659	2261.69784910966	2923.76229252992	1372.17071190385	2156.20347119664	3537.64455114074	2762.46151593773	2106.4589725642	2574.70268793496	2130.38285207577
miR-23a-3p_gac-miR-23b-2-3p	21.8011974118794	10.5305401033522	0	2.02131581722005	3.99240573540981	12.6890226077248	28.485157127304	7.61909353779733	35.4839727014117	12.451532911503	18.1591290738294	19.3677682214195	9.36619159585671
miR-23a-3p	17922.9411587715	10521.5891442643	11499.5012410209	21322.8605558543	22720.7810402172	20377.5128894554	6538.56435316459	22301.0867851328	23475.3361217339	16743.7541851396	15825.6809878423	23413.2108086685	18797.9465328844
miR-23a-3-5p	67.7604784423278	55.2853355425988	38.0988445312675	1.51598686291504	3.99240573540981	181.875990710722	57.7841758868167	103.619672114044	96.7744710038501	147.639604522107	91.9305909362611	38.735536442839	51.0883177955821
miR-23a-2-5p	23.5688620668966	31.5916203100565	0	45.4796058874511	0	79.3063912982799	132.659446050016	57.9051108872597	13.9785347005561	3.55758083185799	21.5639657751724	32.6831088736454	13.6235514121552
miR-23a-1-5p	4.12455086170691	10.5305401033522	21.8715588975795	30.3197372583007	0	0	55.3425909901907	9.14291224535679	15.0538066005989	0	22.6989113422867	35.1040799013229	144.750233754149
miR-22b-5p	741.829933555571	403.319685958387	907.316927170556	622.05994274947	1357.41795003933	825.843888052755	528.196199303438	551.622372136526	661.292218526309	875.164884637066	906.821508124353	1243.16862271236	1192.06074856358
miR-22b-3p	41.8347301687415	45.2813224444143	70.5534157986436	11.6225659490153	5.98860860311471	23.2632081141621	22.7881257018432	50.2860173494623	0	87.1607303805208	30.643530312087	35.1040799013229	0
miR-22a-5p	1535.51136365832	4988.84337396308	2025.58856757906	1296.67409674666	1395.34580452573	391.244863738181	1425.07171799741	972.196335422939	1525.8108261607	581.664466008782	2517.30926785959	1255.27347785075	748.443855705277
miR-22a-3p	34911.9661581423	119311.545897985	165928.934343566	164023.714619955	89184.355520452	43550.8404268127	194547.112286429	35501.9282487204	39087.208838455	126032.637339817	82002.0871151449	69050.9356514159	84225.9036617231
miR-223-3p	17190.5387700427	21745.038786417	68264.6629901356	55784.2739236389	21235.6061066448	20506.5179526339	78856.6812679641	49929.4437718934	47508.7383595901	28245.4130145365	128337.374838155	65302.0620150574	23974.0445975401
miR-222c-5p	13.5520956884656	21.0610802067043	0	0	81.844317575901	0	74.0614085309905	19.809643198273	0	0	9.07956453691468	0	9.36619159585671
miR-222a-5p	17.6766465501725	111.623725095533	40.2154470052268	76.3046721000568	111.787360591475	0	72.4336852665731	9.14291224535679	65.5915859026095	0	26.1037480436297	0	156.670841239785
miR-222-3p	1603.27184210064	7352.94962716564	764.799027257296	2774.25595913452	892.302681864092	877.657397034298	2353.68784034752	1170.29276740567	1859.14511517396	1010.35295624767	1705.82318737284	1830.25409692414	1080.51792137656
miR-221a-5p	24.7473051702415	77.9259967648059	38.0988445312675	42.447632161621	0	7.40192985450612	0	6.09527483023786	11.8279909004706	76.4879878849468	17.024183506715	42.3669929843552	16.1779673019343
miR-221-3p	2263.78920152542	8669.26714008466	2018.53322599919	3732.86498545112	1690.78382894605	1021.46631992185	2439.14331172943	1560.39035654089	2077.42531088265	1342.98676402639	2417.43405795353	1348.48086241633	2063.96803894152
miR-218a-2-5p_gac-miR-218b-5p	16.4982034468276	1.57958101550282	0	0	0	0	2.44158489662606	4.5714561226784	9.677447100385	0	10.214510104029	0	16.1779673019343
miR-218a-2-5p	526.76406719514	174.806965715646	109.357794487898	152.104015245809	255.513967066228	214.655965780678	354.843671642987	301.716104096774	353.764455114074	330.855017362793	197.480528677894	219.097878004808	196.690023512991
miR-2188-5p	19057.1926457409	14142.5153588019	7806.73545811991	9166.66723109292	14710.0189321174	11543.8383173776	14009.0002752081	18813.0657635292	11938.743906175	4541.25193186673	15055.0529477716	8144.1465371069	26385.4131974916
miR-2188-3p	24016.081224616	15188.72451807	9568.45425061204	12452.3160919841	26357.8626651755	15964.9052776191	21295.5034683725	19338.7832176372	12512.9391007978	17553.1038243873	9612.98895345841	8155.04090673145	24029.390275152
miR-217a-5p	0	196.394572927518	0	0	73.8595061050814	0	641.322966180445	0	0	92.4971016283078	0	9.68388411070975	0
miR-216b-5p	0	54.7588085374312	0	0	0	0	252.297105984693	0	0	72.9304070530888	0	0	0
miR-216a-1-3p	0	0	0	0	0	0	51.2732828291472	0	0	0	0	0	0
miR-214a-3p	9431.08015606869	5431.12605830387	4587.38309522781	2790.42648567228	11631.8741101165	23751.7354845595	5181.85701227271	19640.4993217339	11232.2902678469	21340.1486199002	10196.3509749552	18271.0683458816	8593.90652518016
miR-212b-5p	0	0	315.373768619937	12.6332238576253	0	365.866818522731	0	0	0	0	0	9.68388411070975	0
miR-212a-5p	2.94610775836208	0	0	0.505328954305012	0	38.0670678231744	0	0	7.52690330029945	32.0182274867219	0	6.0524275691936	0
miR-210-5p	927.434722332382	2367.79194223873	1601.56253862921	1956.1283821147	1946.29779601228	1902.29597260807	1775.84608147935	1657.9147538247	1482.79995015899	3836.85092715884	2078.08533338635	1710.41603105411	785.057150125445
miR-210-3p	129.628741367931	306.438717007548	74.7866207465622	385.565992134724	157.700026548687	42.2967420257493	273.457508422119	152.381870755947	123.65626850492	188.551784088474	132.788631352377	72.6291308303231	133.681098231773
miR-21-5p	150065.301666138	139703.410281121	56053.2777837064	131645.77253077	60251.3911559371	48690.9520014919	77289.9976259623	84027.9349909516	82521.741968783	57214.7937283561	112111.058065121	84099.6915594588	49473.0754812784
miR-20a-5p	364.728140485225	226.933139227239	47.2707885850912	162.210594331909	9.98101433852452	50.7560904308991	100.918842393877	73.1432979628543	101.075558604021	181.436622424758	76.0413529966604	112.575152787001	1.7029439265194
miR-206-1-3p	8435.88495529397	3844.1736647287	7592.95860825002	5891.63027824213	18418.9638603131	14660.0507861247	3851.1932436115	17531.5342304716	14740.9024776864	38464.5639540486	29135.1876533921	18085.8640622643	10926.9397045117
miR-205-1-5p	585.686222362381	5358.46533159074	17059.110405954	7924.5686614112	10110.7675249253	21280.5483317051	2642.60871978161	13001.2212128974	27442.0141609917	6483.69106606119	24007.5035811695	20932.925990813	23715.1971207092
miR-204-1/2b-5p	1204.95807317009	399.633996922214	230.004135503578	1658.48962802905	3030.23595317604	1820.87474420851	292.176325962918	1289.15062659531	1451.61706505775	476.715831468971	188.40096414098	8318.45645109968	1023.46929983816
miR-200b-5p	4.71377241337933	16.8488641653634	138.284694965341	63.1661192881265	61.882288898852	27.492882316737	0	35.0478302738677	76.3443049030373	0	55.6123327886024	83.5235004548716	63.0089252812179
miR-200b-3p	5067.30534438277	10866.9908596543	37371.4388143835	13392.7332759457	14847.7569299891	8101.94093503228	7004.09320678796	9837.77357600391	26073.1930322373	2013.59075083162	19376.925667343	14683.1892828637	24265.248008975
miR-200a-3p	711.779634420278	2380.95511736792	3211.59148715426	1122.84093646574	1624.90913431179	2059.85133665399	727.592299194566	1717.34368341952	2232.26446448881	1086.84094413262	2134.83261174206	1942.82924971114	2958.0136003642
miR-19c-3p	9.42754482675865	14.742756144693	0	16.1705265377604	0	0	0	7.61909353779733	12.9032628005133	0	0	0	0
miR-19b-3p	556.814366330433	242.728949382267	252.581228559144	230.430003163085	115.779766326884	88.8231582540735	218.114917431928	156.953326878625	251.61362461001	0	85.1209175335751	193.677682214195	305.678434810233
miR-199-5p	1371.11855074171	2225.10312383831	1148.60960920192	1084.94126489286	1429.28125327671	2194.14349258574	1965.47584178398	3000.39903518459	2277.4258842906	2184.35463076081	2468.50660847368	2310.81684591812	2016.28560899897
miR-199-3p	21871.9039980801	22969.7406004369	10949.1845977915	8835.17143706883	15516.4848906702	9792.7531975116	14837.5114167966	22395.5635450015	19808.6589425881	12312.7872590605	26851.677172358	16931.0608820622	10314.731362928
miR-194a-5p	7249.19275022573	6683.73380359761	413.443016580051	263.781714147216	0	730.676218494819	403.675369575509	320.001928587488	565.593019422501	1296.73821321224	466.462628083991	354.672255554745	0
miR-194a-3p	0	80.0321047854764	24.6936955295253	1.01065790861002	0	0	0	0	4.30108760017111	0	0	0	0
miR-193a-2-5p	195.621555155242	71.081145697627	0	29.3090793496907	91.8253319144256	536.111205176372	221.370363960763	182.858244907136	133.333715605305	423.352118991101	69.2316795939744	259.043899961486	293.757827324597
miR-18a/b-5p	25.9257482735863	34.2242553358945	0	2.52664477152506	0	32.7799750699557	0	3.04763741511893	29.032341301155	26.6818562389349	27.238693610744	15.7363116799034	127.720794488955
miR-18a-3p	51.2622749955002	43.7017414289114	57.8538009548877	141.997436159708	241.540546992293	62.3876944879802	0	53.3336547645813	68.8174016027378	0	63.5569517584027	75.0501018580006	124.314906635916
miR-184-3p	396.546104275536	527.580059177943	2031.93837500094	776.185273812498	3413.50690377539	1465.58211119221	707.245758389349	1377.53211163376	700.002006927849	337.970179026509	804.676407084063	1303.6928984043	2404.5568242454
miR-183a-3p	0	1.57958101550282	0	56.0915139278563	0	0	0	0	0	0	0	0	0
miR-183-5p	339.980835314984	131.631751291902	1919.05290972311	2444.27615197334	393.251964937866	661.944012702976	546.915016844237	326.097203417726	747.313970529731	55.1425028937989	348.428289104101	228.781762115518	1228.67404298375
miR-182b-5p	53.0299396505174	46.8609034599171	106.535657855952	628.12389020113	99.8101433852452	115.258622020167	61.8534840478602	56.3812921797002	3.22581570012834	0	36.3182581476587	29.0516523321293	137.938458048072
miR-182a-5p_gac-miR-182b-5p	12.3736525851207	0	16.227285633688	58.1128297450764	0	5.28709275321866	0	6.09527483023786	9.677447100385	0	7.94461896980034	0	15.3264953386746
miR-182a-5p	206.227543085345	14.742756144693	514.334401172112	117.741646353068	61.882288898852	143.808922887548	42.3208048748517	83.8100289157706	233.334002309283	120.957748283172	119.169284547005	116.206609328517	211.165046888406
miR-181b-2/3-5p_gac-miR-181c-5p	535.013168918553	3700.95831932311	1551.46961341217	1165.28856862736	399.240573540981	712.700103133875	1458.44004491797	775.623722147768	1650.54236656566	1716.53275137148	877.312923379381	846.129374173265	1244.00053832242
miR-181b-1-5p	70.1173646490175	87.9300098629905	105.124589539979	214.76480557963	221.578518315244	166.014712451066	95.2218109684163	105.143490821603	83.8712082033367	250.809448645988	118.034338979891	222.729334546324	170.29439265194
