		B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
nomCol	Gene	B9_F	B31_F	B27_F	O25_F	O32_F	O55_F	O59_F	O63_F	T9_F	T26_F	T31_F	T32_F	T13_F	T23_F	B11_M	B14_M	B17_M	B19_M	O49_M	O51_M	O29_M	O33_M	O38_M	O39_M	O46_M	O53_M	T1_M	T3_M	T12_M
miR-182a-5p	miR-182a-5p	55	40	183	350	28	729	233	31	0	333	258	11	0	61	101	58	26	120	136	52	55	217	68	105	96	248	35	0	2
miR-181b-2/3-5p_gac-miR-181c-5p	miR-181b-2/3-5p_gac-miR-181c-5p	1078	719	3660	908	7029	2199	2306	200	474	1729	3321	249	207	298	1404	1155	2098	2412	674	1792	509	1535	965	773	699	1461	461	32	312
miR-181b-1-5p	miR-181b-1-5p	692	611	2085	119	167	149	425	111	105	615	875	14	109	142	776	718	978	1294	157	117	69	78	141	104	184	200	116	0	59
miR-181a-5p	miR-181a-5p	13059	7350	26278	5015	18748	5674	10757	965	1252	9553	12339	515	732	1336	13517	11363	13823	15815	4774	4213	3046	3804	3094	2878	2808	3952	1426	389	1926
miR-181a-3-3p	miR-181a-3-3p	567	311	1196	190	347	230	179	122	0	0	0	0	0	0	806	437	585	835	89	202	78	125	109	115	145	268	0	0	0
miR-181a-2-3p_gac-miR-181a-3-3p	miR-181a-2-3p_gac-miR-181a-3-3p	30	1	44	45	94	66	51	0	1263	17138	14701	1355	897	1572	22	23	10	63	0	62	3	20	0	7	4	81	1883	960	1077
miR-181a-2-3p	miR-181a-2-3p	1110	595	1868	594	2263	1202	1552	331	0	0	0	0	0	0	1885	979	1230	1801	278	1321	173	661	116	244	523	946	0	0	0
miR-181a-1-3p	miR-181a-1-3p	270	123	459	39	12	334	126	0	101	334	115	3	0	0	246	204	212	234	48	78	17	61	0	0	26	28	14	17	3
miR-17a-5p	miR-17a-5p	260	28	63	224	272	153	179	41	1	468	772	25	51	31	143	69	124	254	46	204	19	23	0	29	38	4	0	0	3
miR-16c-5p	miR-16c-5p	44890	39092	78794	81673	82292	94522	201888	23400	7478	151759	117727	8904	19634	2756	78510	34082	82108	103292	61964	95844	42073	46722	33611	44062	34304	45586	24455	6852	10408
miR-16a-5p_gac-miR-16c-5p	miR-16a-5p_gac-miR-16c-5p	2462	1205	4632	19601	15720	10138	20666	3340	617	14135	8177	699	1284	532	5249	2035	4326	6947	6719	12529	6149	6895	4567	6323	4296	8398	1111	234	1226
miR-16a-5p	miR-16a-5p	3650	1774	5343	0	0	0	0	0	141	2444	2558	129	300	336	5991	2608	5945	13686	0	0	0	0	0	0	0	0	288	138	215
miR-15c-5p	miR-15c-5p	105615	75744	136626	84198	56580	38477	107034	21742	5716	66882	52851	5566	7507	4581	156659	53428	133844	174583	54018	45772	43860	40769	16424	39154	31023	67720	12859	2055	7926
miR-15c-3p	miR-15c-3p	49	6	90	10	8	0	45	4	0	0	0	0	0	0	21	11	3	26	9	0	5	0	110	3	13	0	0	0	0
miR-15b-1-5p	miR-15b-1-5p	2165	182	662	125	145	93	11	63	32	567	555	22	73	58	930	226	485	2224	195	300	102	78	19	99	32	381	23	0	126
