Gene	C17_F	C19_F	C31_F	C13_M	C15_M	C20_M
miR-146a-5p	12557.12220528	11263.745102563	6593.44870697947	8814.69907654582	12075.1835003162	12358.4816102857
miR-146a-3p	425.344749143846	589.594900404147	180.816250323709	104.497199067891	543.710446101262	422.045374397061
miR-145-5p	361.543036772269	189.91162055123	418.732369170695	724.273690091246	116.440644209297	328.415140077041
miR-145-3p	137.055530279684	181.843479808858	161.782960815951	450.418961499531	125.101518571972	478.790970954649
miR-144-5p	404.077511686654	617.523079896975	1690.79055127258	864.804406079099	538.898849233109	107.107313502447
miR-144-3p	0	45.3057133994765	96.7525549977743	108.100550759887	46.1913299342665	0
miR-143-5p	0	0	34.894364097558	0	0	27.6634783218242
miR-143-3p	5629.91036019563	21582.8971120575	43438.7249790827	9584.91550071002	2920.63929896872	3769.32625133779
miR-142-5p	291.833758440361	1174.22479112068	1760.5792794677	599.958056717375	1010.43534231208	227.691706187322
miR-142-3p	0	0	183.988465241669	354.93014166163	786.214928256161	214.923946961865
miR-140-5p	90.9765157891005	0	0	0	0	46.8151171600102
miR-140-3p	1524.15201776545	489.674080440918	1628.93236037236	1326.03342265462	967.130970498704	580.933044758308
miR-139-5p	69.7092783319082	152.674047894126	115.785844505533	139.629878064855	93.3449792421635	63.8387961272866
miR-1388-3p	762.076008882725	809.29657908106	2813.75463223036	1109.83232113484	1391.51381426978	1052.63081614326
miR-135c-5p	0	0	0	37.8351927659606	0	0
miR-133a-3p	295.37829801656	340.723789812502	149.094101144111	188.275125906804	147.234864165474	234.784905757021
miR-130c-3p	82.7059234446368	21.7219173833107	0	0	0	31.2100781066734
miR-130c-2-5p	87.4319762129018	105.506455861795	95.1664475387944	81.0754130699156	27.907261835286	0
miR-130b-5p	7054.81526982752	9023.9051072382	7567.31868679314	5450.97027206732	7659.09989472556	7740.80869041198
miR-130b-3p	0	36.6169464461523	0	0	0	0
miR-129-1b/2-3p	0	19.8600387504555	0	0	54.8522042969414	43.2685173751609
miR-129-1a/2-5p	282.381652903831	643.589380756947	0	0	216.521859066874	283.72798278794
miR-128-2-3p	12882.0383330982	12424.3161170427	20863.6575154217	16529.4750491098	16418.1308335108	18465.7264397961
miR-126b-5p	206.764808611592	296.038702623977	220.468936798207	563.023701874414	141.460947923691	88.6649946212314
miR-126b-3p	7291.11790824077	11771.4173431215	6618.82642632315	18822.1075631424	7843.86521446263	5894.44884241946
miR-125b-2/3-5p	25592.7572533468	33623.6662307321	36423.3716880146	24123.5387399919	14066.2222843578	13384.1582680641
miR-125b-2-3p	0	104.265203439891	307.704847042102	131.522336757863	6.73623561541386	82.2811150085027
miR-125a-5p	12409.4330562717	12211.4413266863	12211.4413266863	16282.645458208	6900.79222830469	11405.1555881182
miR-122-5p	74.4353311001731	489.053454229966	1519.49094570275	999.930094528958	411.872691913876	966.803101349907
miR-10c-5p	2175.16578659395	1099.12901959552	2567.90797608847	2694.40622769019	2226.8070305811	1626.47066133187
miR-10b-5p	19712.3660964332	11456.139227958	30678.4904715894	38754.0474474196	17508.4386838343	7434.38246900101
miR-10545-5p	0	0	0	0	0	30.5007581497036
miR-10545-3p	0	17.9981601176003	55.5137610642967	0	121.252241077449	88.6649946212314
miR-103-3p	1020.82739794523	321.484377272998	661.406810394621	796.34072393117	995.03823233399	1060.43333566993
miR-101b-5p	0	157.018431370789	336.25478130374	291.871487051696	139.53630917643	157.469030447307
miR-101a-3p	1322.11326192212	763.370239470632	1533.76591283357	953.987360456006	2005.47357464607	1276.77592254573
miR-100-2-5p	47844.1951995303	51796.2223136098	73236.9258109382	51871.148444209	23823.1784135979	31532.8186870947
miR-1-3p	1967.21946479029	38401.8674288494	20635.2580413286	3172.7511648027	701.530823376672	984.536100274153
let-7j-5p	1950.67828010136	6242.25842975253	6545.86548321008	2506.13110178339	3036.11762380439	3901.25976333418
let-7j-3p	0	60.8213686732699	30.1360417206182	85.5796026849109	52.9275655496803	0
let-7i-5p	0	829.156617831516	994.489376780402	559.420350182417	649.565577200622	975.314940833545
let-7h-1-5p	22966.2534273836	27082.2659673008	23720.2370490445	24521.7091019575	27176.8614307004	35029.0567549991
let-7h-1-3p	118.151319206624	285.488057037797	217.296721880247	317.995786818669	396.475581935787	299.333021841277
let-7g-5p	29771.7694136851	59632.2488530863	66645.0632114177	35285.8214438732	35639.4980024075	46093.0294438149
let-7f-5p	10963.2609091826	28706.4447613615	26343.6587861973	14321.5212998391	14864.9473644711	14176.4686599994
let-7e-5p	171371.399430056	320743.970203332	280959.903068783	186125.726622528	185622.746298971	208327.980682002
let-7e-1-3p	5.9075659603312	13.6537766409381	136.405241472272	54.9511133029428	95.2696179894246	28.372798278794
let-7d-5p	30143.946069186	62433.1349431115	73585.8694519138	48791.1835854752	17835.6272708686	31127.087671708
let-7c-2/d-3p	0	0	0	74.7695476089221	0	37.5939577194021
let-7c-2-5p	9683.6821221749	27879.7706483738	36610.5323681742	12103.6583334154	6432.14269334661	10822.803903446
let-7b-5p	154621.086906133	204722.244449383	254465.564073982	158476.308251918	93613.4663474064	161822.836343188
let-7a-5p_gac-let-7c-2-5p	753.805416538261	2162.88234516679	1895.39841348099	1248.5613612767	794.875802618836	787.345152236535
let-7a-5p	462085.083364338	802534.856512741	835956.350147901	496674.286331764	410928.656608345	559937.883351957
let-7a-5-3p	2.36302638413248	126.607747034154	118.958059423493	417.087958348566	348.35961325426	134.061471867302
let-7a-3/7-3p	267.02198140697	58.9594900404147	49.1693312283771	93.6871439919024	112.591366714775	210.668027220046
REV_let-7f-5p_REV_gac-let-7g-5p	0	36.6169464461523	0	60.3561408409371	13.4724712308277	0
REV_miR-1306-5p	243.391717565645	63.3038735170768	6.34442983591963	299.078190435688	129.913115440124	86.5370347503218
REV_miR-137-1-3p	54.349606835047	0	0	0	0	0
REV_miR-18a/b-5p	0	0	49.1693312283771	0	0	38.303277676372
REV_miR-190b-5p	0	0	0	0	0	31.2100781066734
REV_miR-191-5p	97994.704149974	116182.467942586	57520.1869999063	46095.876519862	68952.1077593763	172791.76015777
REV_miR-19b-3p	0	0	0	208.994398135782	0	48.2337570739499
REV_miR-210-3p	387.536326997727	6.20626210951733	0	118.009767912877	51.0029268024192	0
REV_miR-733-3p	0	522.567269621359	0	0	0	0
REV_miR-8159-5p	0	0	22.2055044257187	33.3310031509653	0	34.0473579345528
REV_miR-9-1/3/5/6-3p	0	42.8232085556696	0	0	0.962319373630552	22.6982386230352
