Gene	D1_P_M	D2_P_M	D3_P_M	D4_P_M	D5_P_M	D6_P_M	D7_P_M	D8_P_M	D9_P_M	D10_P_M	D12_M_MPP	D13_M_MPP	D20_M_MPP	D47_M_MPP	D61_M_MPP
a9_gac-miR-100-2-5p	68691	172197	62711	118648	52939	171155	78163	102560	43147	72353	24856	92264	88873	79851	64393
a18_gac-miR-1-3p	13716	80653	16642	159224	11798	111944	50679	95401	7615	12990	868	8213	58496	129289	23584
a194_gac-let-7j-5p	7576	5677	13782	16695	29908	9320	10970	10302	6304	12871	2297	16109	15745	15273	12514
a92_gac-let-7j-3p	158	180	269	173	702	224	155	133	74	307	145	576	288	254	311
a192_gac-let-7i-5p	1615	1726	2074	2853	1728	2637	3499	2934	924	867	729	3880	2955	3571	2968
a184_gac-let-7h-1-5p	20457	21007	38460	43747	42214	37150	39103	39178	19352	37490	13627	27450	37463	32723	41365
a82_gac-let-7h-1-3p	1839	2336	2793	1005	1970	2053	588	1461	686	2484	2583	1898	1605	1071	201
a191_gac-let-7g-5p	58007	67341	96961	141183	175048	110443	110645	122312	64322	174825	35732	111586	154150	142540	137177
a84_gac-let-7g-1-3p	2	23	7	0	0	10	1	0	5	22	0	10	0	0	0
a186_gac-let-7f-5p	15463	12734	26778	34971	46827	25467	26431	32282	12562	23502	4929	24206	24820	28363	31223
a185_gac-let-7e-5p	115280	109018	223202	273872	352959	193962	251905	269834	115940	246101	58401	298007	343103	205277	355976
a83_gac-let-7e-1-3p	103	106	204	124	434	263	116	251	133	377	192	362	387	167	0
a193_gac-let-7d-5p	47605	76323	53826	57711	32866	123041	126193	146538	46865	47917	39157	34684	35295	84904	59504
a91_gac-let-7c-2/d-3p	426	560	174	203	80	749	218	175	121	176	0	93	89	89	169
a189_gac-let-7c-2-5p	34607	67213	28062	48076	25665	101229	68391	84314	35642	32197	10288	11033	16192	52299	24048
a190_gac-let-7b-5p	130398	259961	134944	115851	66552	351488	376309	442284	141933	136681	182043	63508	77153	246195	252435
a81_gac-let-7b-1-3p	6227	11420	5656	2274	1283	7278	2033	4044	1714	3372	4408	2867	2021	4443	280
a187_gac-let-7a-5p_gac-let-7c-2-5p	1171	1697	1295	2414	1403	1624	1188	1806	1252	2361	1150	1630	1831	2979	1225
a188_gac-let-7a-5p	582928	757392	929215	1259049	1185924	1239326	1034114	1375708	639553	1275707	457081	801342	984027	1181453	1331474
a85_gac-let-7a-5-3p	462	466	1105	547	1683	699	198	430	296	604	318	1610	1147	498	132
a158_gac-let-7a-3/7-3p	485	1074	499	455	752	1219	211	293	257	569	180	404	457	754	555
a267_REV_gac-let-7b-5p_gac-let-7c-2-5p	12	0	1	0	0	9	10	0	12	6	0	4	0	0	0
a257_REV_gac-let-7f-3p	28	38	25	12	18	69	42	0	10	23	0	30	36	0	0
